,Elev.m  ,LatAppx ,LongAppx,SlopeDeg,AspClass,AspDeg  ,PDIR    ,HeatLoad,Landform,TopoClas,Drainage,SoilSer ,SoilGrp ,A-horiz ,B1-horiz,B2-horiz,B3-horiz,B-horiz ,GrazCurr,GrazPast,NotLoggd,Que>60cm,LogQ>60 ,TreeHtM ,SppRich ,ThilType,FlxB-0.25
Stand01 ,91,44.48310089,123.3618011,1,3,315,0.910663009,0.914071202,4,6,1,7,3,5,18,86,51,155,1,1,0,5,0.779999971,13.71533108,32,4,1
Stand02 ,106,44.66130066,123.2029037,7,3,315,0.852826595,0.893289208,3,6,2,2,1,20,0,15,0,15,0,1,0,0,0,16.76318169,41,4,1
Stand03 ,152,44.76250076,123.2640991,6,2,180,0.944180489,0.930086553,4,7,4,2,1,18,0,53,0,53,1,1,0,9,1,22.24931335,35,1,1
Stand04 ,91,45.0080986,123.2232971,5,4,90,0.897357285,0.870120287,3,8,2,2,1,5,0,25,107,132,0,0,0,0,0,15.84882641,33,3,1
Stand05 ,152,45.13809967,123.3355026,10,4,0,0.790015757,0.815012336,3,5,3,4,2,20,30,15,0,46,0,0,0,2,0.479999989,24.38281059,32,1,5
Stand06 ,91,44.3973999,123.3215027,5,4,0,0.864995718,0.876277685,3,5,3,4,2,28,0,64,51,114,1,1,0,1,0.300000012,18.89667702,51,3,1
Stand07 ,213,43.90230179,123.3352966,6,3,135,0.938731492,0.904705703,3,6,3,2,1,5,32,79,51,161,1,1,0,6,0.850000024,18.28710747,37,4,1
Stand08 ,106,45.38370132,123.1825027,11,3,315,0.80673033,0.870428741,3,6,3,5,1,8,0,30,76,107,0,0,0,2,0.479999989,22.24931335,30,3,1
Stand09 ,167,45.39820099,123.2029037,10,3,315,0.818045557,0.875035286,3,4,2,5,1,43,0,76,51,127,0,0,0,1,0.300000012,15.84882641,29,3,1
Stand10 ,167,45.32590103,123.1417007,7,1,250,0.905640185,0.940629244,4,8,3,1,1,13,28,0,30,58,0,0,0,5,0.779999971,22.55410004,38,1,1
Stand11 ,182,45.15259933,123.2640991,22,4,90,0.816286027,0.6895504,3,5,4,4,2,13,13,91,0,104,1,1,0,2,0.479999989,22.85888481,35,1,1
Stand12 ,121,45.16699982,123.2845001,14,3,110,0.897934437,0.808538914,2,6,4,3,2,13,33,30,0,64,1,1,0,1,0.300000012,14.62968636,33,4,1
Stand13 ,152,45.15259933,123.2845001,22,4,90,0.816286027,0.6895504,3,5,4,4,2,13,13,64,51,127,1,1,0,1,0.300000012,17.98232269,38,1,1
Stand14 ,152,45.15259933,123.2845001,19,3,315,0.718121648,0.830818117,3,4,4,1,1,28,23,0,152,175,1,1,0,1,0.300000012,14.93447113,45,1,1
Stand15 ,121,45.12369919,123.2029037,20,2,270,0.825609922,0.943757951,3,7,4,1,1,13,0,38,74,112,0,1,0,6,0.850000024,21.03017426,41,3,1
Stand16 ,198,45.21039963,123.2640991,11,4,90,0.870004237,0.803295076,3,5,4,6,2,8,15,41,46,102,0,1,0,14,1.179999948,21.94452858,34,3,1
Stand17 ,76,44.99359894,123.1825027,3,4,0,0.872165561,0.88063097,3,5,1,5,1,23,23,25,46,94,0,0,1,9,1,21.6397438,23,2,17
Stand18 ,137,44.99359894,123.1825027,17,2,270,0.846623421,0.944409788,3,7,4,1,1,27,0,81,0,81,0,0,1,6,0.850000024,19.81103325,22,2,17
Stand19 ,91,44.99359894,123.1825027,23,5,65,0.733084738,0.636489391,3,5,4,1,1,8,23,152,0,175,0,0,1,2,0.479999989,19.2014637,22,1,5
Stand20 ,91,45.0080986,123.2232971,4,5,45,0.875329196,0.865455091,3,5,3,1,1,8,23,51,0,74,0,0,1,1,0.300000012,19.50624847,32,1,1
Stand21 ,91,45.0080986,123.2232971,9,3,120,0.919131279,0.864835858,3,4,3,1,1,18,19,38,0,57,0,0,1,10,1.039999962,21.03017426,29,2,1
Stand22 ,121,45.0080986,123.2232971,1,4,90,0.908846855,0.905438662,4,8,4,1,1,28,13,30,30,74,0,0,1,2,0.479999989,18.28710747,18,3,17
Stand23 ,106,45.0080986,123.2232971,7,3,160,0.945949733,0.913888156,3,6,4,1,1,24,0,28,0,28,0,0,0,0,0,9.448338509,51,4,23
Stand24 ,91,45.0080986,123.2232971,1,3,345,0.898064256,0.902555525,3,6,4,1,1,18,18,0,38,56,0,0,1,10,1.039999962,19.50624847,20,3,17
Stand25 ,91,44.58300018,123.3013992,22,5,35,0.675242364,0.645551682,3,6,4,1,1,5,10,33,0,43,0,0,1,0,0,10.97226429,32,3,5
Stand26 ,121,44.76250076,123.3049011,14,3,320,0.772536397,0.851906776,2,4,4,1,1,10,18,15,157,191,0,0,1,8,0.949999988,15.23925591,36,1,5
Stand27 ,106,44.87810135,123.2640991,10,5,60,0.84007293,0.802521348,3,5,4,1,1,10,15,79,0,94,0,0,0,14,1.179999948,20.72538948,40,2,1
Stand28 ,76,44.8492012,123.2845001,14,3,315,0.778540015,0.861209393,3,6,3,5,1,33,28,56,51,135,0,0,1,17,1.25999999,21.6397438,26,1,5
Stand29 ,152,44.96469879,123.3049011,29,3,350,0.544294834,0.639844835,2,6,4,1,1,33,0,30,56,86,1,1,0,22,1.360000014,21.33495903,34,1,5
Stand30 ,198,44.8492012,123.3049011,2,5,45,0.897216856,0.892982244,3,4,4,5,1,13,20,25,51,97,0,0,1,10,1.039999962,18.59189224,35,1,1
Stand31 ,182,44.8492012,123.3049011,14,3,275,0.8510198,0.936359048,3,6,4,5,1,30,0,33,132,165,0,0,1,10,1.039999962,20.72538948,32,1,5
Stand32 ,198,44.8492012,123.3049011,22,3,305,0.716564655,0.85049063,3,6,4,1,1,13,43,66,0,109,0,0,1,9,1,18.89667702,18,1,5
Stand33 ,243,45.02249908,123.1621017,9,2,270,0.883207798,0.933803082,4,8,4,1,1,9,0,28,46,74,1,1,0,6,0.850000024,14.32490063,46,4,1
Stand34 ,121,45.0080986,123.3253021,6,3,340,0.848351657,0.87323314,3,6,4,1,1,18,33,43,0,76,0,0,0,15,1.200000048,19.50624847,16,3,17
Stand35 ,137,45.02249908,123.3049011,14,5,35,0.763664126,0.744296968,3,6,4,1,1,15,0,104,51,155,1,1,1,4,0.699999988,14.02011585,38,3,1
Stand36 ,182,44.97919846,123.2232971,2,2,180,0.920594633,0.91636008,4,9,3,1,1,36,0,15,0,15,1,1,0,10,1.039999962,13.41054535,49,4,23
Stand37 ,152,44.97919846,123.2436981,11,5,55,0.818266332,0.779470384,2,5,4,1,1,18,0,15,0,15,1,1,0,4,0.699999988,12.1914053,40,1,1
Stand38 ,228,44.87810135,123.3049011,11,3,330,0.791711748,0.848996222,3,6,4,1,1,15,0,15,130,145,0,1,0,11,1.080000043,15.84882641,33,1,5
Stand39 ,182,44.87810135,123.3049011,3,3,315,0.881796122,0.902233362,4,8,4,2,1,23,15,41,51,107,0,1,0,14,1.179999948,15.84882641,41,4,1
Stand40 ,304,44.49729919,122.9393005,27,4,90,0.792919338,0.640390158,2,5,4,6,2,8,0,23,41,64,1,1,0,2,0.479999989,14.93447113,28,1,5
Stand41 ,182,44.51160049,122.9593964,10,3,135,0.941093445,0.884103715,4,8,2,3,2,3,15,36,0,51,1,1,0,0,0,6.705272675,38,4,23
Stand42 ,152,44.42589951,122.979599,2,2,270,0.911663353,0.921886623,3,4,4,3,2,30,0,3,0,3,1,1,0,13,1.149999976,18.59189224,33,1,5
Stand43 ,182,44.26480103,122.9940033,24,1,200,0.996397257,0.989791691,3,8,4,3,2,4,38,0,15,53,1,1,0,4,0.699999988,10.66747952,61,4,23
Stand44 ,85,44.3368988,123.2145004,0,0,0,0.916916192,0.916916192,1,1,1,7,3,3,18,76,91,185,0,0,1,19,1.299999952,20.4206028,44,3,1
Stand45 ,198,44.56869888,123.3416977,22,3,340,0.65378207,0.746457934,3,6,4,3,2,52,0,23,51,74,0,1,1,19,1.299999952,17.67753792,27,3,17
Stand46 ,91,44.52590179,123.3215027,1,4,0,0.902547061,0.905370414,1,2,1,7,3,8,0,51,0,51,0,0,1,15,1.200000048,20.72538948,38,1,1
Stand47 ,213,44.96469879,123.1417007,17,2,270,0.846919477,0.944705784,3,7,4,1,1,13,15,20,0,36,0,0,0,4,0.699999988,15.54404163,33,2,1
