,pot,block,pop_cat,treatment,height_aug,width_aug,culm_aug,height_oct,width_oct,culm_oct,ag_biomass,bg_wet,bg_biomass,fr_wet,fr_biomass,num_fr,chloro_avg,sla,ldmc,lt,photo,cond,rt_length,rt_diameter,srl,fr,rdmc,rmr,rsr,culm_growth,height_growth,width_growth,t_biomass
1,101,1,Natural,copper,47,2.65,51,56.52,2.46,95,48.9,772.84,160.127,1.64,0.187,10,5.811111111,0.225132989,0.358152735,12.64776937,7.323242752,0.089186973,52.3049,0.53276,0.003575191,0.0187,0.207192951,0.76605893,3.274580777,0.862745098,0.202553191,-0.071698113,209.027
2,102,1,Natural,zinc,52.2,2.51,62,49.53,2.37,94,42.6,965.46,305.1717,1.05,0.1617,10,6.422222222,0.279196078,0.33274664,10.92197291,9.684039552,0.101879771,70.99578,0.38014,0.0022776,0.01617,0.316089429,0.877505847,7.16365493,0.516129032,-0.051149425,-0.055776892,347.7717
3,103,1,Urban_Mod,control,49.5,4.36,78,56.64,3.8,137,91.7,1521.58,391.3618,3.08,0.3418,10,14.94444445,0.241929517,0.32652856,12.77283408,10.3681924,0.099298986,105.8799538,0.445307692,0.003228184,0.03418,0.257207508,0.810169216,4.267849509,0.756410256,0.144242424,-0.128440367,483.0618
4,104,1,Urban_Int,salt,48.6,3.26,52,56.26,2.24,80,33.4,499.09,114.0014,2.22,0.2214,10,5.455555555,0.20450938,0.389686679,12.59452057,5.75595868,0.048896756,73.74875,0.49499,0.003002085,0.02214,0.228418522,0.773407851,3.413215569,0.538461538,0.157613169,-0.312883436,147.4014
5,105,1,Urban_Mod,copper,47.8,3.35,63,49.53,2.92,92,35.8,733.1611,126.6414,2.2811,0.2914,10,7.422222222,0.22581419,0.370663733,12.00893852,5.880503312,0.05667107,83.90075,0.49618,0.003473151,0.02914,0.172733387,0.779612833,3.537469274,0.46031746,0.036192469,-0.128358209,162.4414
6,106,1,Urban_Mod,zinc,40.1,3.53,26,40.64,1.62,55,23.2,481.5583,61.9301,1.5983,0.1801,11,6.877777778,0.232451194,0.368692213,11.68414196,8.488813489,0.112094161,70.62640909,0.443018182,0.002550038,0.016372727,0.128603536,0.727475946,2.669400862,1.115384615,0.013466334,-0.541076487,85.1301
7,107,1,Urban_Int,copper,55.4,3.44,47,56.52,2.95,99,54.5,645.689,101.7543,1.849,0.2343,10,4.4,0.1961922,0.393834758,12.97162124,8.783073588,0.093945296,73.42239,0.46934,0.003191125,0.02343,0.157590264,0.651209599,1.867051376,1.106382979,0.020216606,-0.14244186,156.2543
8,108,1,Rural,salt,36.2,2.59,32,36.83,2.08,70,19.3,401.615,84.0025,1.715,0.2125,10,4.444444444,0.29744214,0.312560386,10.79468518,9.362410884,0.132995069,79.18837,0.51214,0.002683475,0.02125,0.209161759,0.813170059,4.35246114,1.1875,0.017403315,-0.196911197,103.3025
9,109,1,Natural,salt,42.9,2.96,45,45.21,1.86,89,27.3,444.58,77.7573,1.23,0.1173,10,6.788888889,0.270883877,0.341241923,10.92817472,8.663067406,0.100932926,92.68292,0.31509,0.001265605,0.01173,0.17490058,0.740141808,2.848252747,0.977777778,0.053846154,-0.371621622,105.0573
10,110,1,Urban_Int,zinc,56.5,3.32,56,53.72,2.64,95,55.4,826.15,161.6702,0.6,0.1202,5,5.977777778,0.227552295,0.35936324,12.24341032,6.305206125,0.069605848,56.12062,0.51214,0.002141815,0.02404,0.195691097,0.744783024,2.918234657,0.696428571,-0.04920354,-0.204819277,217.0702
11,111,1,Natural,control,50.9,3.73,66,53.84,3.73,108,60,968.386,221.4545,2.236,0.3145,10,8.655555556,0.207956991,0.343240027,14.08844839,7.201382327,0.067763496,98.81474,0.44775,0.003182724,0.03145,0.22868412,0.786821671,3.690908333,0.636363636,0.057760314,0,281.4545
12,112,1,Urban_Int,control,51.6,3.04,58,59.06,3.34,132,66.6,785.052,130.4544,5.082,0.2744,10,9.933333334,0.237117337,0.333264775,12.69419195,9.203601118,0.123495776,103.77054,0.38378,0.002644296,0.02744,0.166172941,0.662022264,1.958774775,1.275862069,0.144573643,0.098684211,197.0544
13,113,1,Urban_Mod,salt,40.4,2.28,28,43.18,2.38,66,18.7,439.491,72.491,1.681,0.181,10,5.966666667,0.227125859,0.338518519,13.09065891,6.973176348,0.078679548,65.81766,0.51723,0.002750022,0.0181,0.164943082,0.794935904,3.876524064,1.357142857,0.068811881,0.043859649,91.191
14,114,1,Rural,zinc,38.2,2.23,57,38.74,2.6,109,30.7,919.403,252.2644,2.113,0.2844,11,4.588888889,0.30608878,0.292724517,11.18710418,7.062206756,0.104086266,93.87321818,0.463390909,0.003029618,0.025854545,0.274378483,0.891505787,8.217081433,0.912280702,0.014136126,0.165919283,282.9644
15,115,1,Rural,copper,40.2,2.33,55,38.73,2.2,90,33.9,697.545,171.4257,1.965,0.2357,11,5.544444444,0.254078432,0.336507937,11.71424864,5.200759808,0.061951122,78.2634,0.442536364,0.003011625,0.021427273,0.245755758,0.83489646,5.05680531,0.636363636,-0.036567164,-0.055793991,205.3257
16,116,1,Rural,control,39.8,4.2,89,41.91,3.05,173,60.4,1233.76,311.1118,1.87,0.2918,10,8.633333333,0.267181421,0.32494586,11.57008625,7.054339549,0.080852702,85.33809167,0.434483333,0.003419341,0.02918,0.252165575,0.837421046,5.150857616,0.943820225,0.053015075,-0.273809524,371.5118
17,117,2,Natural,salt,44.5,3.79,29,45.47,2.45,72,20.8,397.94,60.6217,1.3,0.1117,10,6.522222222,0.235412992,0.328378192,13.17540735,8.160138378,0.07422416,60.00826,0.3959,0.00186141,0.01117,0.152338795,0.744539846,2.914504808,1.482758621,0.021797753,-0.353562005,81.4217
18,118,2,Urban_Mod,control,53.9,4.94,80,55.25,2.99,141,71.9,1290.54,305.0515,1.72,0.1815,10,12.87777778,0.231296833,0.320804522,13.48598786,8.112502473,0.110197579,59.70187,0.53476,0.003040106,0.01815,0.236375083,0.809259281,4.242719054,0.7625,0.025046382,-0.394736842,376.9515
19,119,2,Rural,copper,58.5,2.65,47,58.67,2.4,78,47.1,689.796,127.6567,2.066,0.2467,10,6.433333333,0.264519278,0.348270422,10.91618707,6.751119258,0.063220127,83.15111,0.44675,0.002966888,0.02467,0.185064425,0.730482436,2.710333333,0.659574468,0.002905983,-0.094339623,174.7567
20,120,2,Urban_Mod,zinc,46.7,2.59,56,47.37,2.15,93,36,1059.8747,234.1066,1.6147,0.2366,8,5.722222222,0.252128782,0.356189523,11.16841805,10.52419048,0.185738988,56.2701375,0.5257,0.004204717,0.029575,0.220881393,0.866719288,6.502961111,0.660714286,0.014346895,-0.16988417,270.1066
21,121,2,Rural,salt,48.6,3.11,75,47.02,2.01,99,35.2,690.301,108.6861,1.871,0.1861,8,5.833333333,0.276229266,0.348383321,10.45621889,8.681070734,0.117131696,66.8182,0.4927625,0.002785169,0.0232625,0.157447403,0.755362054,3.087673295,0.32,-0.032510288,-0.353697749,143.8861
22,122,2,Urban_Mod,salt,52,4.9,23,42.6,2.27,46,17.8,319.84,57.3453,1.35,0.1353,10,5.633333333,0.244030355,0.312166196,13.21693675,8.410984863,0.109062994,60.50554,0.46353,0.002236159,0.01353,0.179293709,0.763125571,3.221646067,1,-0.180769231,-0.536734694,75.1453
23,123,2,Urban_Int,copper,58.5,2.9,37,48.9,2.66,84,49.4,689.23,118.42,2.69,0.46,10,6.133333333,0.23427031,0.367964421,11.75778272,6.830933207,0.094916775,84.76056,0.52701,0.005427052,0.046,0.171814924,0.705636992,2.397165992,1.27027027,-0.164102564,-0.082758621,167.82
24,124,2,Rural,zinc,46.2,1.63,79,46.99,1.95,111,38.7,946.59,242.0101,0.98,0.1901,10,4.9,0.297028684,0.335369854,10.18906446,7.548116063,0.113875018,60.1127,0.42997,0.003162393,0.01901,0.255665177,0.862135349,6.253490956,0.405063291,0.017099567,0.196319018,280.7101
25,125,2,Urban_Mod,copper,58.9,2.2,27,48.51,2.76,62,37,749.781,126.2385,1.911,0.2385,11,4.833333333,0.243942696,0.322507164,12.72559568,9.401407886,0.113682898,65.5096,0.511636364,0.003640688,0.021681818,0.168367163,0.773337785,3.411851351,1.296296296,-0.176400679,0.254545455,163.2385
26,126,2,Natural,copper,48.5,2.07,36,48.89,2.17,95,39.9,887.649,212.2173,1.209,0.1273,11,5.933333333,0.267147943,0.319760349,11.77344684,9.824136871,0.140847804,46.88475455,0.477990909,0.002715168,0.011572727,0.239077946,0.841740333,5.318729323,1.638888889,0.008041237,0.048309179,252.1173
27,127,2,Urban_Int,zinc,52.4,3.29,47,52.07,2.54,73,40.7,625.076,124.2252,2.006,0.3152,10,5.144444444,0.228011754,0.378822263,11.61129063,9.267952215,0.122827287,78.89684,0.51623,0.00399509,0.03152,0.198736154,0.75322146,3.052216216,0.553191489,-0.00629771,-0.227963526,164.9252
28,128,2,Natural,zinc,54.4,4.15,46,53.85,2.27,87,35,854.968,156.9476,1.128,0.1376,10,4.922222222,0.25598905,0.330121379,11.92178681,9.590932184,0.167208155,77.92568,0.38206,0.001765785,0.01376,0.183571315,0.817658569,4.484217143,0.891304348,-0.010110294,-0.453012048,191.9476
29,129,2,Rural,control,58.1,3.68,100,58.42,2.79,169,65.5,763.933,155.5226,1.403,0.1426,10,11.35555556,0.24963408,0.313275203,12.8133525,12.89770173,0.198719246,42.59534,0.58816,0.003347784,0.01426,0.203581466,0.703650215,2.37439084,0.69,0.005507745,-0.241847826,221.0226
30,130,2,Natural,control,49.6,4.17,46,56.39,3.01,164,65.2,819.3208,162.7649,2.1108,0.2049,10,15.41111111,0.242013383,0.297785573,13.99294227,9.367929917,0.092884702,70.97478,0.48461,0.002886941,0.02049,0.198658328,0.713991057,2.496394172,2.565217391,0.136895161,-0.278177458,227.9649
31,131,2,Urban_Int,control,58,4.56,78,66.34,3.38,179,86.8,653.6,123.8992,1.89,0.2292,10,19.12222222,0.220798627,0.335649573,13.52399055,14.28188031,0.214287784,62.88382,0.53981,0.003644817,0.02292,0.189564259,0.588038303,1.427410138,1.294871795,0.143793103,-0.25877193,210.6992
32,132,2,Urban_Int,salt,53.4,3.15,39,53.92,2.53,84,36.2,619.59,100.6457,1.85,0.2257,11,5.444444445,0.248132311,0.327424539,12.45142883,3.159236782,0.044202449,54.71492727,0.555172727,0.004125017,0.020518182,0.162439194,0.735468488,2.780267956,1.153846154,0.009737828,-0.196825397,136.8457
33,133,3,Natural,zinc,48.6,3.07,59,48.01,2.35,80,38.6,923.929,185.4886,2.219,0.1886,11,4.388888889,0.244926697,0.34834211,11.73490785,12.3664973,0.218710195,47.30850909,0.660436364,0.003986598,0.017145455,0.200760665,0.827746704,4.805404145,0.355932203,-0.012139918,-0.234527687,224.0886
34,134,3,Rural,copper,47.9,2.55,31,51.94,2.74,70,31.5,417.848,70.9634,1.558,0.1634,10,4.1,0.228550595,0.379046879,11.56500826,10.72246177,0.193270343,72.35066,0.46955,0.002258445,0.01634,0.169830656,0.692573153,2.252806349,1.258064516,0.08434238,0.074509804,102.4634
35,135,3,Rural,control,53.2,3.84,74,62.23,3.14,125,61.3,556.9,101.1507,1.95,0.2607,10,14.28888889,0.241456878,0.337626806,12.29809791,14.40403925,0.201833279,79.19489,0.45781,0.003291879,0.02607,0.181631711,0.62265475,1.650092985,0.689189189,0.169736842,-0.182291667,162.4507
36,136,3,Natural,control,54.1,3.99,88,51.31,3.07,127,81.8,1591.715,416.0198,2.415,0.2498,10,13.68888889,0.2246272,0.325957809,13.73122888,12.38707704,0.214948603,64.30917,0.61749,0.003884361,0.02498,0.26136576,0.835683514,5.085816626,0.443181818,-0.051571165,-0.230576441,497.8198
37,137,3,Urban_Mod,control,56.9,4.56,46,67.33,3.94,122,71.4,707.51,118.8957,2.02,0.2657,10,13.3,0.210224949,0.390508744,12.20805927,11.67529884,0.245204214,85.61823,0.45185,0.003103311,0.02657,0.168048084,0.624794465,1.665205882,1.652173913,0.183304042,-0.135964912,190.2957
38,138,3,Natural,salt,44.4,3.22,34,44.83,2.53,74,22.8,475.475,83.076,1.655,0.146,10,5.288888889,0.205516667,0.427413914,11.55158098,11.62194817,0.23644125,56.66539,0.55652,0.002576529,0.0146,0.17472212,0.784653746,3.643684211,1.176470588,0.009684685,-0.214285714,105.876
39,139,3,Urban_Int,zinc,49.4,3.07,44,55.24,1.89,96,33.3,752.0616,135.643,2.2616,0.223,11,7.811111111,0.221075312,0.335243188,13.99673786,9.002362241,0.134681344,95.08997273,0.418218182,0.002345147,0.020272727,0.180361555,0.8028921,4.073363363,1.181818182,0.118218623,-0.384364821,168.943
40,140,3,Urban_Mod,salt,46.2,3.15,30,45.72,2.43,74,17.1,345.619,54.6001,1.669,0.1901,10,3.077777778,0.235370925,0.365744073,11.92652878,11.00254583,0.1506224,73.46925,0.47861,0.002587477,0.01901,0.157977715,0.761506609,3.192988304,1.466666667,-0.01038961,-0.228571429,71.7001
41,141,3,Urban_Int,salt,47.3,3.48,54,48.26,2.36,97,34.3,589.291,66.6468,2.081,0.1568,10,4.722222222,0.201595317,0.440917108,11.40459005,11.11221924,0.204742691,59.74322,0.57589,0.002624566,0.01568,0.113096586,0.660217065,1.943055394,0.796296296,0.020295983,-0.32183908,100.9468
42,142,3,Rural,zinc,52.9,1.94,26,52.7,2.56,64,30.3,405.244,55.9256,2.264,0.2356,10,5.844444445,0.208669614,0.381923873,12.65036389,8.513504972,0.10263021,97.43124,0.43497,0.002418116,0.02356,0.138004758,0.648596241,1.845729373,1.461538462,-0.003780718,0.319587629,86.2256
43,143,3,Natural,copper,43.8,2.41,45,44.2,2.9,79,38.2,689.665,117.9367,1.855,0.1967,10,5.522222222,0.254635864,0.32553354,12.16494616,10.483343,0.198004144,49.40996,0.60856,0.003980979,0.01967,0.171005778,0.755342594,3.087348168,0.755555556,0.00913242,0.203319502,156.1367
44,144,3,Urban_Mod,copper,56.6,2.78,46,44.22,3.01,76,41.2,773.7401,167.245,2.6901,0.355,4,6.1,0.207043442,0.410207457,11.80406609,10.37469911,0.164040747,80.3742,0.54955,0.00441684,0.08875,0.216151392,0.802345943,4.05934466,0.652173913,-0.218727915,0.082733813,208.445
45,145,3,Urban_Mod,zinc,57.8,3.16,29,52.4,2.83,62,33.7,505.51,81.8038,2.57,0.2838,10,5.433333333,0.241936544,0.369926057,11.2771553,6.181674609,0.113610807,92.81852,0.46287,0.003057579,0.02838,0.161824296,0.708234707,2.427412463,1.137931034,-0.093425606,-0.10443038,115.5038
46,146,3,Urban_Int,copper,47,3.48,36,46.99,2.84,91,40.1,707.035,126.5001,2.555,0.2201,10,6.7,0.262547368,0.384052288,9.919395961,8.888321731,0.118110154,77.42367,0.51736,0.0028428,0.02201,0.17891632,0.759303866,3.15461596,1.527777778,-0.000212766,-0.183908046,166.6001
47,147,3,Urban_Int,control,40.3,3.88,56,49.53,3.8,117,52.7,780.886,149.2741,1.936,0.2241,10,11.55555556,0.247378512,0.330083557,12.29834731,8.58287784,0.104439009,59.90626,0.57777,0.003740844,0.02241,0.191159913,0.739075456,2.832525617,1.089285714,0.229032258,-0.020618557,201.9741
48,148,3,Rural,salt,44.9,2.63,26,47.88,1.68,63,24.9,337.26,43.8348,1.81,0.1848,10,3.355555556,0.236941953,0.39526691,10.74929433,6.526289832,0.072380067,88.64769,0.40843,0.002084657,0.01848,0.129973314,0.637738089,1.760433735,1.423076923,0.06636971,-0.36121673,68.7348
49,149,4,Urban_Int,control,51.1,3.91,56,52.07,3.64,121,64.1,962.839,141.5939,2.269,0.2439,10,12.27777778,0.19841468,0.368133702,13.75793106,8.100600286,0.128115821,73.94641,0.44967,0.003298335,0.02439,0.14705875,0.688371896,2.208953198,1.160714286,0.018982387,-0.069053708,205.6939
50,150,4,Urban_Mod,zinc,49.8,2.94,42,48.77,2.26,82,36.9,1235.73,311.8776,1.37,0.1776,10,6.166666667,0.228554669,0.356732026,12.42232275,10.80109243,0.208986425,51.96988,0.45379,0.003417364,0.01776,0.252383288,0.894201921,8.45196748,0.952380952,-0.020682731,-0.231292517,348.7776
51,151,4,Urban_Int,salt,47.3,3.38,37,46.99,1.98,71,29,393.8048,57.0733,1.9848,0.2133,10,4.799999999,0.225448669,0.337994718,13.28541296,7.051944425,0.084691322,86.77089,0.46124,0.002458198,0.02133,0.144927893,0.663077865,1.968044828,0.918918919,-0.006553911,-0.414201183,86.0733
52,152,4,Rural,salt,43.4,3.12,56,43.43,2.65,82,30.7,483.978,83.7622,3.378,0.3622,11,6.188888889,0.230909655,0.349120083,12.48290452,10.17073228,0.167078767,72.50137273,0.550681818,0.004995767,0.032927273,0.173070264,0.731789185,2.728410423,0.464285714,0.000691244,-0.150641026,114.4622
53,153,4,Rural,copper,43.1,2.5,41,51.56,2.72,73,37,939.9,192.358,19.39,0.248,10,5.888888889,0.224985003,0.339036097,13.37696589,10.71209885,0.205534447,69.62407,0.55224,0.003561987,0.0248,0.204657942,0.838680142,5.198864865,0.780487805,0.196287703,0.088,229.358
54,154,4,Natural,copper,51.2,3.07,53,53.64,2.21,104,39.8,560.13,96.6054,1.4,0.1654,10,6.388888889,0.242496277,0.339008363,12.21042816,11.14223653,0.308597105,74.503,0.44234,0.002220045,0.01654,0.172469605,0.708222695,2.427271357,0.962264151,0.04765625,-0.280130293,136.4054
55,155,4,Urban_Mod,copper,53.4,3.31,53,53.04,2.45,78,37.2,850.72,166.1716,1.49,0.1516,10,6.477777778,0.21133556,0.365471848,13.05284475,11.11271473,0.17939794,58.3943,0.4419,0.002596144,0.01516,0.195330544,0.817083605,4.466978495,0.471698113,-0.006741573,-0.259818731,203.3716
56,156,4,Rural,zinc,44.7,2.91,63,45.09,2.67,85,37.7,1156.55,234.8412,1.82,0.2512,10,4.788888889,0.235097977,0.323953824,13.15842908,9.308136985,0.108491361,55.69858,0.63163,0.004509989,0.02512,0.203053219,0.86167229,6.229209549,0.349206349,0.008724832,-0.082474227,272.5412
57,157,4,Urban_Int,copper,52.3,1.78,61,52.45,2.09,96,45.2,699.092,131.025,1.122,0.155,10,6.155555556,0.221912083,0.368345096,12.26067775,8.671981985,0.115202429,44.33592,0.52159,0.003496037,0.0155,0.187421684,0.743509718,2.898783186,0.573770492,0.002868069,0.174157303,176.225
58,158,4,Natural,control,47.2,4.82,82,46.36,3.25,116,53,943.888,207.6042,1.898,0.2342,10,11.88888889,0.227115915,0.342348018,12.880639,10.45363508,0.159717543,69.69944,0.54842,0.003360142,0.02342,0.219945799,0.796626455,3.917060377,0.414634146,-0.01779661,-0.325726141,260.6042
59,159,4,Rural,control,46.5,4.07,75,49.53,3.29,89,52.5,789.5688,150.448,2.8588,0.428,10,14.33333333,0.21202698,0.348037927,13.57412043,9.952943305,0.131883726,89.78172,0.52163,0.004767117,0.0428,0.19054451,0.741313046,2.86567619,0.186666667,0.06516129,-0.191646192,202.948
60,160,4,Urban_Int,zinc,43.7,2.91,54,48.51,2.47,89,39.1,803.121,194.3644,1.861,0.2244,10,5.244444445,0.253494745,0.344790395,11.58638077,10.66765016,0.116528761,86.00745,0.42925,0.002609076,0.02244,0.242011353,0.832522646,4.970956522,0.648148148,0.11006865,-0.151202749,233.4644
61,161,4,Natural,salt,55.8,3.31,40,59.06,2.19,86,37.4,656.609,123.1697,1.449,0.1397,10,7.744444445,0.26006826,0.328496262,11.86427348,7.177365686,0.103853192,64.3624,0.49213,0.002170522,0.01397,0.187584544,0.767079343,3.293307487,1.15,0.058422939,-0.33836858,160.5697
62,162,4,Urban_Mod,salt,48.5,3.08,35,50.17,2.3,71,25.5,503.52,81.5208,1.99,0.1808,11,4.588888889,0.230815697,0.376335791,11.54701656,9.930491018,0.154085333,66.68021818,0.551918182,0.002711449,0.016436364,0.161901811,0.761728561,3.196894118,1.028571429,0.03443299,-0.253246753,107.0208
63,163,4,Natural,zinc,57.3,2.75,44,60.33,2.71,102,47,1070.983,279.8425,1.123,0.1425,10,9.144444445,0.244070249,0.334492644,12.31094062,8.677876611,0.110350822,53.67739,0.43881,0.002654749,0.01425,0.261294997,0.856199852,5.954095745,1.318181818,0.052879581,-0.014545455,326.8425
64,164,4,Urban_Mod,control,52.6,3.92,45,53.72,4.09,91,45.4,724.423,127.0985,3.043,0.2985,11,14.53333333,0.189319395,0.3717456,14.26764504,11.42958418,0.1659573,93.12528182,0.488772727,0.003205359,0.027136364,0.175447908,0.736809306,2.799526432,1.022222222,0.021292776,0.043367347,172.4985
65,165,5,Natural,copper,45.5,2.69,87,51.05,1.93,90,43.3,1289.99,263.2124,0.57,0.0724,5,5.2,0.262363255,0.326020255,11.74424114,8.129165623,0.102327592,60.95262,0.34374,0.001187808,0.01448,0.204042202,0.858733285,6.078808314,0.034482759,0.121978022,-0.282527881,306.5124
66,166,5,Rural,salt,49.4,3.64,24,49.53,3.27,53,27.7,612.86,143.878,2.45,0.288,10,5.844444445,0.219219954,0.35159909,13.20772294,4.983859621,0.047673812,91.68307,0.48335,0.003141256,0.0288,0.234764873,0.838557391,5.194151625,1.208333333,0.002631579,-0.101648352,171.578
67,167,5,Urban_Mod,control,46.4,4.31,69,49.59,2.99,127,47.9,864.362,145.0319,3.062,0.3119,11,13.48888889,0.229978805,0.349894765,12.43875586,9.170273055,0.136870398,61.75227273,0.609509091,0.005050826,0.028354545,0.167790694,0.751725868,3.027805846,0.84057971,0.06875,-0.306264501,192.9319
68,168,5,Urban_Mod,zinc,51.9,3.09,53,50.17,2.35,86,30.8,830.287,161.6877,2.617,0.3377,10,7.066666667,0.216890548,0.381318853,12.1217344,10.0708256,0.181509876,73.25794,0.59192,0.004609739,0.03377,0.194737121,0.839989776,5.249600649,0.622641509,-0.033333333,-0.239482201,192.4877
69,169,5,Urban_Int,copper,55.3,2.81,64,56.13,2.45,91,63.6,859.355,186.5299,2.345,0.2499,11,4.877777778,0.234288457,0.368246753,11.6481098,3.727974344,0.060566177,66.1183,0.545281818,0.003779589,0.022718182,0.217058026,0.745732118,2.932860063,0.421875,0.015009042,-0.128113879,250.1299
70,170,5,Rural,control,53.4,4.27,85,54.61,2.83,123,47.6,654.8612,131.5031,2.1712,0.3031,10,9.98888889,0.20757106,0.372029761,12.96142386,8.405028449,0.132178819,94.03591,0.4304,0.003223237,0.03031,0.200810645,0.734231289,2.762670168,0.447058824,0.022659176,-0.337236534,179.1031
71,171,5,Rural,zinc,47.9,2.92,48,49.28,2.29,62,41.3,643.2931,131.2013,1.8531,0.2613,10,5.955555555,0.249797598,0.33709076,11.99297645,8.471013474,0.094717366,90.45246,0.43861,0.00288881,0.02613,0.2039526,0.760581514,3.176786925,0.291666667,0.028810021,-0.215753425,172.5013
72,172,5,Urban_Int,salt,42.7,3.2,51,44.45,2.17,89,32.9,514.446,90.3428,1.626,0.1728,10,6.533333333,0.257624124,0.309066373,12.62528811,9.440776688,0.127009643,60.99369,0.49562,0.00283308,0.01728,0.175611823,0.733047286,2.745981763,0.745098039,0.040983607,-0.321875,123.2428
73,173,5,Urban_Int,zinc,53.4,3.5,89,55.88,2.41,142,49.5,754.491,148.9236,1.761,0.2236,10,4.866666667,0.258057528,0.350660522,11.0596693,8.902958053,0.138295984,67.80446,0.49359,0.003297718,0.02236,0.197382871,0.750533707,3.008557576,0.595505618,0.046441948,-0.311428571,198.4236
74,174,5,Rural,copper,49.1,3.15,26,49.85,2.53,61,30.3,545.054,97.058,1.924,0.268,10,6.588888889,0.22228901,0.391196634,11.77732279,8.819073739,0.131601556,63.80501,0.52838,0.004200297,0.0268,0.17807043,0.762087972,3.203234323,1.346153846,0.015274949,-0.196825397,127.358
75,175,5,Natural,control,48.4,3.96,91,52.07,2.95,198,50.9,970.697,265.0593,1.507,0.1493,12,12.23333333,0.143416704,0.327962764,21.99152475,7.431486831,0.075231211,56.51924167,0.442525,0.002641578,0.012441667,0.273060801,0.838903302,5.207451866,1.175824176,0.075826446,-0.255050505,315.9593
76,176,5,Urban_Mod,copper,42.1,2.09,42,47.31,2.24,119,29.8,527.07,91.5708,2.33,0.2908,11,5.233333334,0.464101465,0.340406446,6.685760502,9.146899798,0.152978348,72.54220909,0.508590909,0.004008701,0.026436364,0.173735557,0.754471421,3.072845638,1.833333333,0.123752969,0.071770335,121.3708
77,177,5,Urban_Int,control,54.8,4.85,96,58.49,3,151,78.5,1008.856,206.2775,1.936,0.2175,12,13.31111111,0.15019165,0.342748092,26.03967864,7.742814557,0.117733746,63.81451667,0.44915,0.003408315,0.018125,0.204466743,0.7243462,2.627738854,0.572916667,0.067335766,-0.381443299,284.7775
78,178,5,Urban_Mod,salt,43.1,3.09,48,47.24,2.38,88,27.4,612.131,98.2372,2.291,0.2072,11,4.688888889,0.302875815,0.317987787,12.91463349,5.598132709,0.076375661,57.23455455,0.569754545,0.003620191,0.018836364,0.160483949,0.781911727,3.58529927,0.833333333,0.096055684,-0.229773463,125.6372
79,179,5,Natural,salt,41.4,3.84,40,40.64,1.92,97,20.8,358.0594,42.7312,1.1394,0.0912,10,6.888888889,0.278867407,0.328108108,12.13022465,4.749467106,0.065088528,66.51976,0.40575,0.001371021,0.00912,0.119341093,0.672601808,2.054384615,1.425,-0.018357488,-0.5,63.5312
80,180,5,Natural,zinc,43.9,2.18,51,42.55,1.66,111,27.5,663.537,140.9955,1.577,0.1455,11,7.422222222,0.213093246,0.31315644,15.77479994,7.229862066,0.097130404,82.5386,0.379563636,0.001762812,0.013227273,0.212490788,0.836790894,5.127109091,1.176470588,-0.030751708,-0.23853211,168.4955
